id,order_id,product_id,quantity
1,1,7,1
2,2,14,2
3,3,21,3
4,4,28,4
5,5,35,5
6,6,42,1
7,7,49,2
8,8,56,3
9,9,63,4
10,10,70,5
11,11,77,1
12,12,84,2
13,13,91,3
14,14,98,4
15,15,5,5
16,16,12,1
17,17,19,2
18,18,26,3
19,19,33,4
20,20,40,5
21,21,47,1
22,22,54,2
23,23,61,3
24,24,68,4
25,25,75,5
26,26,82,1
27,27,89,2
28,28,96,3
29,29,3,4
30,30,10,5
31,31,17,1
32,32,24,2
33,33,31,3
34,34,38,4
35,35,45,5
36,36,52,1
37,37,59,2
38,38,66,3
39,39,73,4
40,40,80,5
41,41,87,1
42,42,94,2
43,43,1,3
44,44,8,4
45,45,15,5
46,46,22,1
47,47,29,2
48,48,36,3
49,49,43,4
50,50,50,5
51,51,57,1
52,52,64,2
53,53,71,3
54,54,78,4
55,55,85,5
56,56,92,1
57,57,99,2
58,58,6,3
59,59,13,4
60,60,20,5
61,61,27,1
62,62,34,2
63,63,41,3
64,64,48,4
65,65,55,5
66,66,62,1
67,67,69,2
68,68,76,3
69,69,83,4
70,70,90,5
71,71,97,1
72,72,4,2
73,73,11,3
74,74,18,4
75,75,25,5
76,76,32,1
77,77,39,2
78,78,46,3
79,79,53,4
80,80,60,5
81,1,67,1
82,2,74,2
83,3,81,3
84,4,88,4
85,5,95,5
86,6,2,1
87,7,9,2
88,8,16,3
89,9,23,4
90,10,30,5
91,11,37,1
92,12,44,2
93,13,51,3
94,14,58,4
95,15,65,5
96,16,72,1
97,17,79,2
98,18,86,3
99,19,93,4
100,20,100,5
101,21,7,1
102,22,14,2
103,23,21,3
104,24,28,4
105,25,35,5
106,26,42,1
107,27,49,2
108,28,56,3
109,29,63,4
110,30,70,5
111,31,77,1
112,32,84,2
113,33,91,3
114,34,98,4
115,35,5,5
116,36,12,1
117,37,19,2
118,38,26,3
119,39,33,4
120,40,40,5
121,41,47,1
122,42,54,2
123,43,61,3
124,44,68,4
125,45,75,5
126,46,82,1
127,47,89,2
128,48,96,3
129,49,3,4
130,50,10,5
131,51,17,1
132,52,24,2
133,53,31,3
134,54,38,4
135,55,45,5
136,56,52,1
137,57,59,2
138,58,66,3
139,59,73,4
140,60,80,5
141,61,87,1
142,62,94,2
143,63,1,3
144,64,8,4
145,65,15,5
146,66,22,1
147,67,29,2
148,68,36,3
149,69,43,4
150,70,50,5
151,71,57,1
152,72,64,2
153,73,71,3
154,74,78,4
155,75,85,5
156,76,92,1
157,77,99,2
158,78,6,3
159,79,13,4
160,80,20,5
161,1,27,1
162,2,34,2
163,3,41,3
164,4,48,4
165,5,55,5
166,6,62,1
167,7,69,2
168,8,76,3
169,9,83,4
170,10,90,5
171,11,97,1
172,12,4,2
173,13,11,3
174,14,18,4
175,15,25,5
176,16,32,1
177,17,39,2
178,18,46,3
179,19,53,4
180,20,60,5
181,21,67,1
182,22,74,2
183,23,81,3
184,24,88,4
185,25,95,5
186,26,2,1
187,27,9,2
188,28,16,3
189,29,23,4
190,30,30,5
191,31,37,1
192,32,44,2
193,33,51,3
194,34,58,4
195,35,65,5
196,36,72,1
197,37,79,2
198,38,86,3
199,39,93,4
200,40,100,5
